"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","1","1","1.0","0.0","-"
"2",1,"Justin Jefferson",MIN,"WR2","3","6","3.3","0.7","-"
"3",1,"Bijan Robinson",ATL,"RB1","2","5","3.8","1.5","-"
"4",1,"CeeDee Lamb",DAL,"WR3","3","7","4.2","0.9","-"
"5",2,"Saquon Barkley",PHI,"RB2","2","16","4.5","3.8","-"
"6",2,"Puka Nacua",LAR,"WR4","4","10","6.6","1.4","-"
"7",2,"Amon-Ra St. Brown",DET,"WR5","6","11","7.6","1.5","-"
"8",2,"Jahmyr Gibbs",DET,"RB3","5","12","7.7","1.5","-"
"9",2,"Malik Nabers",NYG,"WR6","4","11","8.5","1.9","-"
"10",3,"Nico Collins",HOU,"WR7","9","14","9.9","1.2","-"
"11",3,"Brian Thomas Jr.",JAC,"WR8","7","11","10.2","1.3","-"
"12",3,"Drake London",ATL,"WR9","11","19","14.0","2.1","-"
"13",3,"De'Von Achane",MIA,"RB4","8","23","14.6","4.5","-"
"14",3,"Brock Bowers",LV,"TE1","15","15","15.0","0.0","-"
"15",3,"A.J. Brown",PHI,"WR10","13","18","15.4","1.7","-"
"16",3,"Jaxon Smith-Njigba",SEA,"WR11","14","28","17.2","3.3","-"
"17",4,"Christian McCaffrey",SF,"RB5","12","30","18.3","4.6","-"
"18",4,"Ladd McConkey",LAC,"WR12","13","27","18.8","3.7","-"
"19",4,"Trey McBride",ARI,"TE2","21","21","21.0","0.0","-"
"20",4,"Derrick Henry",BAL,"RB6","12","40","21.5","6.5","-"
"21",4,"Tyreek Hill",MIA,"WR13","14","41","22.9","7.9","-"
"22",4,"Tee Higgins",CIN,"WR14","17","28","22.9","4.0","-"
"23",4,"Bucky Irving",TB,"RB7","16","32","24.0","5.1","-"
"24",4,"Josh Allen",BUF,"QB1","24","26","24.6","0.9","-"
"25",4,"Ashton Jeanty",LV,"RB8","12","52","24.8","10.1","-"
"26",4,"Lamar Jackson",BAL,"QB2","24","29","25.9","1.4","-"
"27",4,"Garrett Wilson",NYJ,"WR15","19","37","27.1","4.0","-"
"28",5,"Jonathan Taylor",IND,"RB9","20","40","28.8","7.0","-"
"29",5,"Jayden Daniels",WAS,"QB3","26","36","29.1","1.9","-"
"30",5,"Mike Evans",TB,"WR16","25","35","29.3","3.6","-"
"31",5,"Josh Jacobs",GB,"RB10","16","38","29.6","6.2","-"
"32",5,"Terry McLaurin",WAS,"WR17","25","35","30.2","3.6","-"
"33",5,"Breece Hall",NYJ,"RB11","30","45","33.4","3.8","-"
"34",5,"Davante Adams",LAR,"WR18","14","37","34.1","5.6","-"
"35",5,"Chase Brown",CIN,"RB12","23","42","34.6","5.6","-"
"36",5,"DJ Moore",CHI,"WR19","28","39","35.2","2.2","-"
"37",5,"Jalen Hurts",PHI,"QB4","29","53","38.4","6.7","-"
"38",6,"Kyren Williams",LAR,"RB13","23","57","40.0","6.4","-"
"39",6,"Rashee Rice",KC,"WR20","27","67","41.8","9.0","-"
"40",6,"Zay Flowers",BAL,"WR21","39","48","41.9","2.3","-"
"41",6,"Kenneth Walker III",SEA,"RB14","32","57","42.7","6.6","-"
"42",6,"James Cook",BUF,"RB15","38","49","43.1","3.1","-"
"43",6,"T.J. Hockenson",MIN,"TE3","31","72","43.8","18.4","-"
"44",6,"Courtland Sutton",DEN,"WR22","41","54","44.7","2.9","-"
"45",6,"Alvin Kamara",NO,"RB16","33","55","46.4","5.0","-"
"46",6,"Marvin Harrison Jr.",ARI,"WR23","39","67","46.5","5.8","-"
"47",6,"Joe Mixon",HOU,"RB17","42","52","47.1","2.8","-"
"48",6,"Joe Burrow",CIN,"QB5","36","53","49.2","7.1","-"
"49",6,"Chuba Hubbard",CAR,"RB18","40","55","49.6","3.2","-"
"50",6,"Chris Olave",NO,"WR24","41","59","49.6","4.0","-"
"51",6,"DeVonta Smith",PHI,"WR25","43","61","50.1","5.5","-"
"52",6,"DK Metcalf",PIT,"WR26","44","63","50.4","4.2","-"
"53",6,"George Kittle",SF,"TE4","31","65","53.8","10.8","-"
"54",6,"Jaylen Waddle",MIA,"WR27","44","67","55.7","5.8","-"
"55",7,"James Conner",ARI,"RB19","52","64","56.8","3.4","-"
"56",7,"Chris Godwin",TB,"WR28","39","75","57.5","8.8","-"
"57",7,"Xavier Worthy",KC,"WR29","43","87","58.1","14.2","-"
"58",7,"David Montgomery",DET,"RB20","52","74","60.4","5.3","-"
"59",7,"Jameson Williams",DET,"WR30","51","67","60.9","3.1","-"
"60",7,"Baker Mayfield",TB,"QB6","53","69","60.9","4.3","-"
"61",7,"Jerry Jeudy",CLE,"WR31","44","70","61.2","7.6","-"
"62",7,"Jordan Addison",MIN,"WR32","50","75","63.4","7.6","-"
"63",7,"Patrick Mahomes II",KC,"QB7","58","91","64.2","8.1","-"
"64",7,"Aaron Jones Sr.",MIN,"RB21","55","71","64.5","4.3","-"
"65",7,"Sam LaPorta",DET,"TE5","56","84","64.6","7.9","-"
"66",7,"Tony Pollard",TEN,"RB22","60","83","68.1","6.4","-"
"67",7,"Rome Odunze",CHI,"WR33","44","87","69.3","10.0","-"
"68",7,"Omarion Hampton",LAC,"RB23","52","116","69.9","17.1","-"
"69",7,"George Pickens",PIT,"WR34","43","90","72.4","11.7","-"
"70",7,"Isiah Pacheco",KC,"RB24","57","117","74.3","15.6","-"
"71",8,"Bo Nix",DEN,"QB8","62","104","75.4","11.6","-"
"72",8,"Jaylen Warren",PIT,"RB25","64","98","76.3","7.3","-"
"73",8,"Calvin Ridley",TEN,"WR35","54","82","76.4","8.0","-"
"74",8,"Jonnu Smith",MIA,"TE6","65","94","77.7","7.7","-"
"75",8,"Kyler Murray",ARI,"QB9","62","103","78.3","12.0","-"
"76",8,"Brandon Aiyuk",SF,"WR36","67","106","79.2","10.3","-"
"77",8,"Khalil Shakir",BUF,"WR37","67","93","79.3","7.3","-"
"78",8,"D'Andre Swift",CHI,"RB26","66","116","79.9","10.7","-"
"79",8,"Tyrone Tracy Jr.",NYG,"RB27","64","116","81.7","14.7","-"
"80",8,"Jared Goff",DET,"QB10","62","112","83.5","12.7","-"
"81",8,"TreVeyon Henderson",NE,"RB28","71","119","83.6","11.9","-"
"82",8,"Evan Engram",DEN,"TE7","21","96","84.2","18.0","-"
"83",8,"Mark Andrews",BAL,"TE8","65","110","85.1","10.8","-"
"84",8,"Jakobi Meyers",LV,"WR38","80","99","85.6","5.3","-"
"85",8,"Brian Robinson Jr.",WAS,"RB29","74","102","86.7","8.1","-"
"86",8,"Najee Harris",LAC,"RB30","66","121","87.1","15.5","-"
"87",8,"Travis Etienne Jr.",JAC,"RB31","74","119","88.3","10.2","-"
"88",8,"Deebo Samuel Sr.",WAS,"WR39","70","109","90.7","8.2","-"
"89",8,"Stefon Diggs",NE,"WR40","67","108","90.8","10.8","-"
"90",8,"David Njoku",CLE,"TE9","84","105","90.8","6.0","-"
"91",8,"Travis Kelce",KC,"TE10","56","105","92.1","9.7","-"
"92",8,"Jauan Jennings",SF,"WR41","61","125","92.6","16.7","-"
"93",8,"Jayden Reed",GB,"WR42","87","120","93.6","8.0","-"
"94",8,"Justin Herbert",LAC,"QB11","69","112","93.8","11.3","-"
"95",9,"Tetairoa McMillan",CAR,"WR43","70","115","96.7","18.5","-"
"96",9,"Brock Purdy",SF,"QB12","73","107","96.8","7.4","-"
"97",9,"Travis Hunter",JAC,"WR44","80","115","97.8","12.5","-"
"98",9,"Rhamondre Stevenson",NE,"RB32","83","119","99.3","10.0","-"
"99",9,"Quinshon Judkins",CLE,"RB33","76","159","99.6","24.4","-"
"100",9,"Josh Downs",IND,"WR45","81","114","100.9","8.9","-"
"101",9,"Caleb Williams",CHI,"QB13","78","118","101.7","8.5","-"
"102",9,"Jordan Love",GB,"QB14","73","124","103.7","9.8","-"
"103",9,"Michael Pittman Jr.",IND,"WR46","87","120","104.0","7.8","-"
"104",9,"Jake Ferguson",DAL,"TE11","94","111","106.4","5.5","-"
"105",9,"Ricky Pearsall",SF,"WR47","80","132","106.5","15.3","-"
"106",9,"Cooper Kupp",SEA,"WR48","89","127","106.7","11.6","-"
"107",9,"Drake Maye",NE,"QB15","97","124","106.9","7.3","-"
