Bye,Team,Abbreviation
Week_5,Lions,DET
Week_5,Packers,GB
Week_6,Raiders,LVR
Week_6,Patriots,NE
Week_6,Saints,NO
Week_6,Seahawks,SEA
Week_7,Colts,IND
Week_7,Jaguars,JAC
Week_7,Vikings,MIN
Week_7,Titans,TEN
Week_8,Cardinals,ARI
Week_8,Ravens,BAL
Week_8,Broncos,DEN
Week_8,Texans,HOU
Week_8,Steelers,PIT
Week_8,Commanders,WAS
Week_9,Bengals,CIN
Week_9,Browns,CLE
Week_9,Rams,LAR
Week_9,Eagles,PHI
Week_10,Falcons,ATL
Week_10,Cowboys,DAL
Week_10,Chiefs,KC
Week_10,Chargers,LAC
Week_11,Bills,BUF
Week_11,Bears,CHI
Week_11,Dolphins,MIA
Week_11,Giants,NYG
Week_11,Jets,NYJ
Week_11,49ers,SF
Week_13,Panthers,CAR
Week_13,Buccaneers,TB
