"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Christian McCaffrey","RB","SF",353,20.3,43.8,331,385,194,200,183,1,1,1,1,"1",1.36,69.7,4
"2","Breece Hall","RB","NYJ",309,30.6,6.13,280,355,151,149,154,2,2,3,2,"1",4.98,57.2,48
"3","Bijan Robinson","RB","ATL",303,28.6,27.5,269,337,145,138,135,3,3,6,3,"2",5.19,59,41
"4","CeeDee Lamb","WR","DAL",348,27.4,13.5,321,401,141,137,165,4,4,2,1,"1",3.88,59.8,34
"5","Tyreek Hill","WR","MIA",334,24.1,21.6,301,380,128,117,144,5,5,4,2,"2",4.02,62.1,26
"6","Saquon Barkley","RB","PHI",276,35.3,7.02,238,325,117,107,123,6,7,10,4,"3",10.6,49.3,72
"7","Jonathan Taylor","RB","IND",269,20.6,5.12,242,298,110,111,96.8,7,6,12,5,"3",10.2,50.2,8
"8","Amon-Ra St. Brown","WR","DET",313,31.9,4.98,280,375,106,96.5,139,8,10,5,3,"2",7.5,54.6,56
"9","Jahmyr Gibbs","RB","DET",264,35.7,9.49,227,327,105,95.8,126,9,11,9,6,"3",15.2,42.7,69
"10","Justin Jefferson","WR","MIN",308,29.5,0.715,283,364,101,99.6,128,10,8,8,4,"2",8.64,54.4,46
"11","Ja'Marr Chase","WR","CIN",307,29.8,20.3,283,368,101,99.2,132,11,9,7,5,"3",7.92,53.4,47
"12","Kyren Williams","RB","LAR",254,28.5,5.4,225,305,95.4,93.9,103,12,12,11,7,"4",16.7,40.6,63
"13","Travis Etienne","RB","JAC",249,21.8,5.87,223,285,90,92.2,83.4,13,13,17,8,"4",19.7,37.2,24
"14","Josh Jacobs","RB","GB",243,26.5,0.815,217,286,84.1,86.1,84.4,14,17,16,9,"4",29.2,31.1,55
"15","Rachaad White","RB","TB",242,19.2,1.37,220,270,83.3,89,68.2,15,16,24,10,"4",32.3,24.6,21
"16","Alvin Kamara","RB","NO",241,17.5,1.2,209,262,82,78,60.6,16,21,26,11,"4",44.6,23.6,30
"17","Isiah Pacheco","RB","KC",240,18,4.12,216,265,80.8,84.4,63.8,17,18,25,12,"4",19.9,37,15
"18","Puka Nacua","WR","LAR",287,23.7,2.52,262,322,80.4,78.3,85.8,18,20,15,6,"3",16.4,40.2,43
"19","Travis Kelce","TE","KC",228,21.3,1.04,206,261,79.2,91.3,79.2,19,15,19,1,"1",29,31,41
"20","Josh Allen","QB","BUF",371,28.6,5.14,328,408,78.8,65.7,90.1,20,27,14,1,"1",25.2,31.2,46
"21","Sam LaPorta","TE","DET",227,17.8,19,206,254,78.2,91.6,72.7,21,14,21,2,"2",34.2,24.3,24
"22","A.J. Brown","WR","PHI",284,22.4,12.4,261,327,77.9,76.9,91,22,22,13,7,"4",12.1,48.5,13
"23","Devon Achane","RB","MIA",235,29.3,0.792,201,284,76.6,69.5,82.3,23,26,18,13,"4",26.5,28.5,66
"24","James Cook","RB","BUF",235,25.8,4.23,203,273,75.8,72,71.8,24,23,23,14,"5",32.7,25.2,49
"25","Jalen Hurts","QB","PHI",365,23.4,21,327,395,73.6,64.8,77.8,25,28,20,2,"2",31.6,26,17
"26","Derrick Henry","RB","BAL",230,21.7,1.43,188,255,71.6,57.1,53.1,26,33,30,15,"5",16.6,43.5,37
"27","Joe Mixon","RB","HOU",229,17.9,5.31,201,248,70.2,70.2,46.7,27,25,34,16,"5",36.5,26.8,6
"28","Garrett Wilson","WR","NYJ",272,21.8,15.3,248,308,65.5,64.3,72.2,28,29,22,8,"4",15.7,44.6,11
"29","Kenneth Walker III","RB","SEA",224,21.6,12.4,195,254,64.9,64,52.1,29,31,31,17,"6",37.7,22,23
"30","Trey McBride","TE","ARI",208,19.9,1.75,186,242,59.1,71.8,60.1,30,24,27,3,"2",54.2,15.5,44
"31","Mark Andrews","TE","BAL",207,14,8.23,193,226,57.4,78.6,44.9,31,19,37,4,"2",49.2,17.8,15
"32","Patrick Mahomes","QB","KC",344,23,8.19,317,376,52.6,55,58.4,32,36,28,3,"2",28.9,27.4,23
"33","Aaron Jones","RB","MIN",211,17.7,5.97,188,237,52.5,56.8,35.8,33,34,42,18,"6",59.4,16.5,7
"34","Davante Adams","WR","LVR",257,19.6,2.94,233,282,50.2,49.7,46.3,34,42,35,9,"5",28.4,35,30
"35","Evan Engram","TE","JAC",198,19.3,0.715,168,227,49.1,53.5,45.3,35,37,36,5,"3",75.3,10.9,21
"36","Dalton Kincaid","TE","BUF",198,25.3,4.21,165,229,48.4,50.8,47.4,36,40,33,6,"3",61,12.1,56
"37","Chris Olave","WR","NO",254,9.09,4.58,241,268,47.3,57.2,31.8,37,32,47,10,"5",31.1,28.7,1
"38","Rhamondre Stevenson","RB","NE",205,20.2,4.44,187,237,46.5,56,35.3,38,35,44,19,"6",65.2,12.5,28
