"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Cooper Kupp","WR","LAR",24.1,1.01,2.5,22.9,25.1,12.3,13.6,11.7,1,1,2,1,"1",NA,NA,37
"2","Christian McCaffrey","RB","CAR",20.2,1.46,0.13,18.5,22.4,11.8,12.8,11.4,2,3,3,1,"1",NA,NA,64
"3","Austin Ekeler","RB","LAC",20.1,0.759,0.108,18.9,20.8,11.7,13.2,9.73,3,2,9,2,"1",NA,NA,27
"4","Saquon Barkley","RB","NYG",19.9,1.43,1.56,18,21.7,11.6,12.3,10.7,4,4,4,3,"2",NA,NA,62
"5","Travis Kelce","TE","KC",18.4,1.24,0.618,16.9,19.8,10.7,10.5,10.3,5,8,5,1,"1",NA,NA,74
"6","Josh Allen","QB","BUF",27.2,3.87,3.7,24.4,34,10.6,9.51,14.5,6,11,1,1,"1",NA,NA,92
"7","Mark Andrews","TE","BAL",17.8,2.21,4.09,14.7,19.7,10.1,8.39,10.2,7,14,6,2,"2",NA,NA,95
"8","Leonard Fournette","RB","TB",18.4,1.31,0.0642,17,20.1,9.99,11.3,9.12,8,5,13,4,"2",NA,NA,54
"9","Alvin Kamara","RB","NO",18.3,1.71,1.22,16.4,20.8,9.93,10.7,9.78,9,6,8,5,"3",NA,NA,76
"10","Stefon Diggs","WR","BUF",21.5,1.41,0.9,20,23.4,9.85,10.7,9.94,10,7,7,2,"1",NA,NA,57
"11","Justin Jefferson","WR","MIN",20.6,1.45,1.11,19.3,22.5,8.95,9.94,9.01,11,9,14,3,"2",NA,NA,61
"12","Nick Chubb","RB","CLE",17.1,1.98,0.0944,14.7,20.4,8.71,9,9.37,12,12,10,6,"3",NA,NA,85
"13","Aaron Jones","RB","GB",17,1.33,0.231,15.6,18.6,8.61,9.88,7.62,13,10,19,7,"3",NA,NA,56
"14","Rhamondre Stevenson","RB","NE",16.8,2.18,0.492,13.9,20,8.38,8.21,9,14,16,15,8,"4",NA,NA,91
"15","Dalvin Cook","RB","MIN",16.3,1.89,0.411,13.6,19.2,7.89,7.86,8.17,15,17,16,9,"4",NA,NA,82
"16","Deebo Samuel","WR","SF",19.5,2.86,1.3,15.6,22.8,7.83,6.27,9.33,16,24,11,4,"3",NA,NA,94
"17","Joe Mixon","RB","CIN",15.9,0.924,0.2,14.6,16.9,7.48,8.85,5.88,17,13,38,10,"4",NA,NA,40
"18","Breece Hall","RB","NYJ",15.7,1.83,0.638,14,18.7,7.28,8.27,7.64,18,15,18,11,"5",NA,NA,78
"19","Lamar Jackson","QB","BAL",23.4,1.04,0.507,22.5,24.9,6.91,7.56,5.43,19,19,44,2,"1",NA,NA,43
"20","Kenneth Walker III","RB","SEA",15,1.5,0.437,13.6,17.3,6.64,7.86,6.29,20,18,33,12,"5",NA,NA,69
"21","Ja'Marr Chase","WR","CIN",18.2,2.18,0.277,15.8,20.5,6.53,6.44,7.05,21,22,21,5,"3",NA,NA,83
"22","Jalen Hurts","QB","PHI",22.9,3.41,1,19.7,28.8,6.4,4.83,9.32,22,36,12,3,"2",NA,NA,88
"23","Tyreek Hill","WR","MIA",18,1.95,0.106,15.3,20.4,6.26,5.99,6.9,23,25,25,6,"3",NA,NA,76
"24","David Montgomery","RB","CHI",14.6,1.88,0.471,12.9,17.7,6.21,7.24,6.7,24,20,27,13,"6",NA,NA,81
"25","Mike Evans","WR","TB",17.9,1.76,0.129,15.6,20.2,6.15,6.28,6.7,25,23,28,7,"3",NA,NA,71
"26","Marquise Brown","WR","ARI",17.7,2.67,0.679,14.1,20.6,6.02,4.74,7.12,26,38,20,8,"4",NA,NA,92
"27","Zach Ertz","TE","ARI",13.7,1.94,0.986,11.4,16.3,6,5.1,6.82,27,31,26,3,"3",NA,NA,92
"28","Melvin Gordon","RB","DEN",14.1,1.58,0.237,12.3,16.7,5.73,6.58,5.67,28,21,42,14,"6",NA,NA,73
"29","Eno Benjamin","RB","ARI",13.9,2.02,0.568,11.1,16.2,5.5,5.42,5.14,29,30,47,15,"6",NA,NA,87
"30","Kyler Murray","QB","ARI",21.9,2.38,0.139,19.6,25.5,5.4,4.68,6.06,30,39,35,4,"2",NA,NA,84
"31","Mike Williams","WR","LAC",17,2.27,0.0289,14.4,20.1,5.34,5.09,6.62,31,32,30,9,"4",NA,NA,86
"32","DK Metcalf","WR","SEA",17,1.85,0.0596,15,19.3,5.31,5.66,5.81,32,27,40,10,"4",NA,NA,74
