"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Kyren Williams","RB","LAR",19,1.43,1.24,16.9,21.4,10.8,10.5,11.1,1,1,1,1,"1",NA,NA,69
"2","Saquon Barkley","RB","PHI",17.7,1.9,0.0897,15.4,20.6,9.6,8.98,10.4,2,3,3,2,"1",NA,NA,90
"3","Alvin Kamara","RB","NO",17.7,1.39,0.112,15.1,18.6,9.51,8.68,8.35,3,4,11,3,"1",NA,NA,62
"4","Bijan Robinson","RB","ATL",17.5,2,0.45,15.1,21,9.4,8.62,10.7,4,5,2,4,"1",NA,NA,93
"5","Justin Jefferson","WR","MIN",19.9,1.97,1.27,16.4,21.7,9.16,7.2,9.5,5,9,5,1,"1",NA,NA,86
"6","Derrick Henry","RB","BAL",17.1,0.461,0.828,16.3,17.7,8.95,9.88,7.43,6,2,13,5,"2",NA,NA,1
"7","Kenneth Walker III","RB","SEA",16.3,1.4,0.668,14.4,18.6,8.12,7.98,8.38,7,6,10,6,"2",NA,NA,65
"8","Malik Nabers","WR","NYG",18.7,1.93,0.209,16.7,21.8,7.88,7.45,9.6,8,7,4,2,"1",NA,NA,83
"9","Ja'Marr Chase","WR","CIN",18.4,1.64,0.463,16.6,20.6,7.67,7.33,8.39,9,8,9,3,"1",NA,NA,77
"10","Breece Hall","RB","NYJ",15.6,1.49,0.377,13.1,17.1,7.45,6.65,6.87,10,11,15,7,"3",NA,NA,75
"11","Drake London","WR","ATL",18,2.06,1.11,15.5,21.2,7.21,6.23,8.99,11,14,6,4,"2",NA,NA,89
"12","Tony Pollard","RB","TEN",15.2,1.21,0.0538,13,16.6,7.08,6.57,6.32,12,12,19,8,"3",NA,NA,48
"13","Chuba Hubbard","RB","CAR",15.2,1.32,0.318,13.4,16.9,7.02,7,6.68,13,10,16,9,"3",NA,NA,55
"14","J.K. Dobbins","RB","LAC",14.8,2.14,0.0252,12.6,18.8,6.7,6.15,8.55,14,15,7,10,"3",NA,NA,96
"15","Joe Mixon","RB","HOU",14.8,1.55,0.811,12.3,16.5,6.68,5.84,6.3,15,17,20,11,"4",NA,NA,79
"16","Chris Godwin","WR","TB",16.9,1.36,0.185,15.5,19.1,6.1,6.25,6.89,16,13,14,5,"2",NA,NA,58
"17","Amon-Ra St. Brown","WR","DET",16.7,2.37,0.557,13.3,20.8,5.92,4.03,8.52,17,34,8,6,"3",NA,NA,94
"18","Aaron Jones","RB","MIN",14,1.27,0.179,11.9,15.3,5.87,5.43,5.05,18,18,30,12,"4",NA,NA,51
"19","Travis Kelce","TE","KC",13.7,1.51,0.185,10.9,14.8,5.71,4.17,5.65,19,32,24,1,"1",NA,NA,91
"20","Jayden Daniels","QB","WAS",22.6,2.34,0.925,19.6,26.5,5.69,4.76,7.81,20,27,12,1,"1",NA,NA,91
"21","Brian Robinson","RB","WAS",13.8,1.39,0.171,12.5,16.4,5.69,6.07,6.15,21,16,21,13,"4",NA,NA,61
"22","Jahmyr Gibbs","RB","DET",13.7,1.51,0.29,10.6,14.5,5.52,4.16,4.29,23,33,35,14,"4",NA,NA,76
"23","George Kittle","TE","SF",13.5,1.54,0.165,11.2,15.5,5.52,4.48,6.36,22,30,18,2,"1",NA,NA,94
"24","A.J. Brown","WR","PHI",16.1,1.35,0.151,14,17.4,5.36,4.75,5.16,24,28,29,7,"3",NA,NA,56
"25","Brock Bowers","TE","LVR",13.4,0.899,1.6,12,14.5,5.36,5.31,5.3,25,19,28,3,"2",NA,NA,41
"26","James Cook","RB","BUF",13.4,1.35,0.109,11.6,14.9,5.23,5.13,4.66,26,21,32,15,"5",NA,NA,59
"27","Stefon Diggs","WR","HOU",16,1.37,0.415,13.5,17.2,5.21,4.22,4.94,27,31,31,8,"3",NA,NA,59
"28","Devon Achane","RB","MIA",13.3,0.949,0.281,11.4,14.2,5.12,5.01,3.91,28,22,42,16,"5",NA,NA,27
"29","James Conner","RB","ARI",13,0.765,0.0455,11.6,13.7,4.84,5.19,3.44,29,20,47,17,"5",NA,NA,15
"30","Kareem Hunt","RB","KC",12.9,2.33,0.219,10.2,16.2,4.79,3.74,6.01,30,38,22,18,"5",NA,NA,99
"31","Mike Evans","WR","TB",15.6,1.95,0.0639,13,18.1,4.79,3.79,5.86,31,37,23,9,"3",NA,NA,85
"32","Lamar Jackson","QB","BAL",21.7,2.13,0.0771,17.8,24,4.77,2.95,5.32,32,52,27,2,"1",NA,NA,88
"33","Terry McLaurin","WR","WAS",15.5,1.18,0.467,14.2,17.6,4.73,4.93,5.34,33,23,26,10,"4",NA,NA,42
"34","Josh Allen","QB","BUF",21.6,1.76,2.15,19.5,24.2,4.69,4.71,5.51,34,29,25,3,"2",NA,NA,65
"35","Josh Jacobs","RB","GB",12.7,1.39,0.0825,10.4,13.6,4.57,4,3.37,35,35,48,19,"5",NA,NA,63
"36","David Montgomery","RB","DET",12.6,1.06,0.557,11.2,14.4,4.49,4.77,4.15,36,26,38,20,"6",NA,NA,31
"37","Diontae Johnson","WR","CAR",15,0.905,0.339,14,16.4,4.26,4.77,4.2,37,25,36,11,"4",NA,NA,20
"38","Jordan Mason","RB","SF",12.1,1.19,0.0104,9.79,13.4,3.94,3.36,3.17,38,45,52,21,"6",NA,NA,46
"39","Rhamondre Stevenson","RB","NE",12.1,0.778,0.433,11.3,13.3,3.92,4.83,3.07,39,24,53,22,"6",NA,NA,17
