"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Saquon Barkley","RB","PHI",22.1,1.24,0.222,20,23.8,15.8,15.3,16.3,1,2,2,1,"1",NA,NA,58
"2","Alvin Kamara","RB","NO",21.9,1.41,2.4,20.2,24.4,15.5,15.4,16.9,2,1,1,2,"2",NA,NA,71
"3","Devon Achane","RB","MIA",19.5,1.3,1.59,17.9,21,13.1,13.2,13.5,3,3,3,3,"3",NA,NA,62
"4","Chase Brown","RB","CIN",17.9,1.76,0.188,15.6,20.8,11.5,10.9,13.3,4,4,4,4,"4",NA,NA,92
"5","Bijan Robinson","RB","ATL",17.7,1.39,1.08,15.5,19.7,11.3,10.7,12.1,5,5,5,5,"5",NA,NA,68
"6","Ja'Marr Chase","WR","CIN",20.7,1.9,1.8,18.5,23.2,10.4,9.86,11.1,6,7,6,1,"1",NA,NA,90
"7","Jahmyr Gibbs","RB","DET",16.6,1.11,0.246,15,17.9,10.3,10.3,10.4,7,6,10,6,"5",NA,NA,42
"8","Josh Jacobs","RB","GB",16.4,1.53,0.59,14.5,18.5,10,9.76,11,8,8,7,7,"5",NA,NA,86
"9","James Conner","RB","ARI",15.8,1.44,0.373,14,18.1,9.43,9.32,10.6,9,10,8,8,"6",NA,NA,76
"10","Bucky Irving","RB","TB",15.4,1.11,0.242,14.1,17.2,9.06,9.35,9.7,10,9,11,9,"6",NA,NA,44
"11","Kyren Williams","RB","LAR",15.2,1.14,0.0555,14,17.2,8.81,9.26,9.62,11,11,12,10,"6",NA,NA,48
"12","James Cook","RB","BUF",15.1,1.49,0.35,13.8,17.9,8.76,9.07,10.4,12,12,9,11,"6",NA,NA,79
"13","Justin Jefferson","WR","MIN",18.9,1.29,1.21,17.4,20.6,8.61,8.82,8.56,13,13,16,2,"2",NA,NA,59
"14","Zach Charbonnet","RB","SEA",14.8,1.76,0.369,12.5,17.1,8.41,7.76,9.6,14,17,13,12,"7",NA,NA,91
"15","Tony Pollard","RB","TEN",14.4,1.17,0.176,12.7,15.4,8.04,7.99,7.84,15,15,20,13,"7",NA,NA,52
"16","David Montgomery","RB","DET",14.2,1.21,0.19,12.8,16.4,7.86,8.07,8.85,16,14,15,14,"7",NA,NA,55
"17","Brock Bowers","TE","LVR",16.2,1.12,1.91,14.6,17.9,7.71,7.82,8.02,17,16,18,1,"1",NA,NA,59
"18","D'Andre Swift","RB","CHI",14,1.44,0.074,12.1,16.5,7.67,7.33,8.95,18,19,14,15,"7",NA,NA,74
"19","Aaron Jones","RB","MIN",13.9,0.951,0.341,12.4,15,7.6,7.67,7.45,19,18,24,16,"7",NA,NA,32
"20","Amon-Ra St. Brown","WR","DET",17.7,1.82,0.118,15,20.1,7.41,6.39,8.06,20,23,17,3,"2",NA,NA,86
"21","Tee Higgins","WR","CIN",17.6,1.85,0.828,15.3,20,7.29,6.73,7.99,21,20,19,4,"3",NA,NA,87
"22","Isaac Guerendo","RB","SF",13.6,1.51,0.44,10.6,15.1,7.26,5.92,7.58,22,29,21,17,"8",NA,NA,82
"23","Najee Harris","RB","PIT",13.2,1.49,0.0973,11.1,15,6.82,6.35,7.43,23,24,25,18,"8",NA,NA,80
"24","Rico Dowdle","RB","DAL",13.1,1.43,0.729,10.9,14.6,6.72,6.21,7.03,24,26,27,19,"9",NA,NA,73
"25","Josh Allen","QB","BUF",22.8,1.78,0.257,20.4,25.7,6.56,6.25,7.56,25,25,22,1,"1",NA,NA,91
"26","Puka Nacua","WR","LAR",16.8,0.988,0.0817,15.1,17.9,6.46,6.46,5.84,26,22,34,5,"3",NA,NA,30
"27","CeeDee Lamb","WR","DAL",16.7,1.91,0.619,14,19.5,6.38,5.36,7.49,27,34,23,6,"3",NA,NA,91
"28","Jalen Hurts","QB","PHI",22.5,1.63,1.25,20.7,25.4,6.3,6.51,7.19,28,21,26,2,"2",NA,NA,74
"29","Tyrone Tracy","RB","NYG",12.3,1.29,0.941,10.9,14.2,5.99,6.12,6.62,29,27,29,20,"10",NA,NA,61
"30","Trey McBride","TE","ARI",14.3,1.35,0.554,12.2,16.5,5.81,5.44,6.59,30,33,30,2,"1",NA,NA,79
"31","Mike Evans","WR","TB",16.1,1.45,0.0468,14.1,18.1,5.76,5.46,6.08,31,32,31,7,"3",NA,NA,70
"32","A.J. Brown","WR","PHI",16,2.07,0.937,12.6,18.8,5.71,4,6.8,32,46,28,8,"4",NA,NA,99
"33","Travis Kelce","TE","KC",13.8,1.46,0.656,11.7,15.1,5.25,4.86,5.18,33,37,35,3,"2",NA,NA,88
"34","Joe Burrow","QB","CIN",21.3,1.69,2.76,19.8,24.2,5.05,5.66,6.04,35,30,32,3,"3",NA,NA,88
"35","Chuba Hubbard","RB","CAR",11.4,0.804,0.0478,10.3,12.3,5.05,5.55,4.81,34,31,37,21,"10",NA,NA,24
"36","Isiah Pacheco","RB","KC",11.3,0.749,0.113,10.8,12.7,5,6.03,5.14,36,28,36,22,"10",NA,NA,23
"37","Braelon Allen","RB","NYJ",11.2,2.13,0.238,7.53,13.6,4.89,2.8,6.01,37,57,33,23,"10",NA,NA,98
"38","Cooper Kupp","WR","LAR",15.1,0.719,0.181,14,15.7,4.78,5.36,3.7,38,35,48,9,"4",NA,NA,9
"39","Rachaad White","RB","TB",11,0.928,0.216,9.15,11.8,4.65,4.42,4.29,39,41,41,24,"10",NA,NA,29
"40","Drake London","WR","ATL",14.9,0.821,0.405,13.3,15.7,4.6,4.72,3.68,40,39,49,10,"5",NA,NA,14
"41","George Kittle","TE","SF",13.1,0.859,1.35,11.6,14.1,4.6,4.76,4.2,41,38,42,4,"3",NA,NA,41
